id, author, latitude, longitude
143, Zheng  Wei, 30.73454, 119.52652
144, Ruan  Jishou, 30.73454, 119.52652
145, Shao  Yiming, 30.72608, 108.67483
146, Yoon  Sook Hee, 37.56667, 126.96667
148, Kim  Jaemin, 37.56667, 126.96667
149, Lee  Hak-Kyo, 37.01083, 127.27028
150, Park  Bongkyun, 37.56667, 126.96667
152, Colak  Serdar, -19.8, 32.78333
153, Schneider  Christian M., -19.8, 32.78333
154, Wang  Pu, 24.45722, 118.32972
155, Gonzalez  Marta C., -19.8, 32.78333
156, Martinez Molina  Mario, 19.42847, -99.12766
157, Moreno-Armendariz  Marco A., 19.42847, -99.12766
158, Tuoh Mora  Juan Carlos Seck, 19.42847, -99.12766
159, Duncombe  Jennifer, -27.44453, 153.01852
160, Espino  Fe, 14.39028, 121.0475
161, Marollano  Kristian, 14.39028, 121.0475
162, Velazco  Aldwin, 14.39028, 121.0475
163, Ritchie  Scott A., -32.41089, 26.72992
164, Hu  Wenbiao, -27.44453, 153.01852
165, Weinstein  Philip, -17.89028, 31.13833
166, Clements  Archie C. A., -27.44453, 153.01852
167, Boucekkine  R., -23.23594, 30.32318
168, Camacho  C., -19.05, 29.56667
169, Fabbri  G., 35.04139, 32.90139
170, Schaefer  J. A., 42.87064, -71.95175
171, Mahoney  S. P., 45.5287, 9.229
172, Sivrikaya  Fatih, 38.0, 37.0
173, Baskent  Emin Zeki, 40.99511, 39.78973
174, Bozali  Nuri, 38.0, 37.0
175, Zhang Wen, 40.16375, 94.63988
179, Burczynski  T., 44.76166, -88.25149
180, Szczepanik  M., 50.3011, 18.6498
181, Vargas  Roger I., 19.72972, -155.09
182, Stark  John D., 47.18538, -122.2929
183, Banks  John, 47.25288, -122.44429
184, Leblanc  Luc, 63.0625, -149.57194
185, Manoukis  Nicholas C., 19.72972, -155.09
186, Peck  Steven, 40.23384, -111.65853
187, Heppenstall  Alison J., -18.49435, 31.4284
188, Harland  Kirk, -18.49435, 31.4284
189, Ross  Andrew N., -18.49435, 31.4284
190, Olner  Dan, -18.49435, 31.4284
191, Thiele  Elizabeth A., 40.41226, -86.93668
192, Correa-Oliveira  Guilherme, 39.31253, -7.42363
